,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
1375,200710280oti,-1,1,8,2007,4,6.5,0.7297459,,,0.85594636,0.73621047,1,0.73621047
1376,200711250kan,-1,-1,12,2007,-3,4.0,0.5549628000000001,,0.33606774,0.7811411,0.8482497999999999,0,0.6680519500000001
1378,200712020min,1,1,13,2007,32,5.5,,0.6933504,,0.7869236999999999,,1,0.74013705
1379,200709090rai,-1,-1,1,2007,-15,2.5,,,,,0.6604043,0,0.6604043
1380,200712160sdg,1,1,15,2007,37,9.5,0.8896021999999999,0.75005615,0.88768363,0.65796417,,1,0.81886989
1381,200710070was,1,1,5,2007,31,3.5,0.74847305,,,0.7069205,0.47268867,1,0.7069205
1382,200710280chi,-1,-1,8,2007,-9,6.0,0.6592821,0.95766854,,,0.6730096999999999,0,0.6730096999999999
1383,200711110crd,1,1,10,2007,10,2.5,,,0.27823076,0.6931285,0.47444129999999995,1,0.47444129999999995
1384,200709230phi,1,1,3,2007,35,4.5,,0.32318038,,0.59226984,,1,0.45772511000000005
1385,200809080gnb,1,1,1,2008,5,2.5,,,,,0.20836532,1,0.20836532
1386,200811230jax,-1,-1,12,2008,-18,2.5,0.67510194,,0.27523476,0.38708222,0.30578226,0,0.34643223999999995
1387,200810190chi,1,1,7,2008,7,3.0,,,0.4227126,,0.7996813,1,0.6111969500000001
1388,200812140crd,-1,-1,15,2008,-21,4.5,0.5775955,0.47515017,,,0.42612118,0,0.47515017
1389,200812070det,1,-1,14,2008,-4,11.0,,,0.20956132,,,0,0.20956132
1390,200809280oti,1,1,4,2008,13,3.0,,,,0.5631223000000001,,1,0.5631223000000001
1391,200811160tam,1,1,11,2008,6,5.0,,,,0.3867372,,1,0.3867372
1392,200810060nor,-1,-1,5,2008,-3,3.0,,0.2642939,,,0.3884781,0,0.326386
1393,200810050gnb,-1,-1,5,2008,-3,5.0,,0.75471497,0.21965599,0.8310716,0.76663136,0,0.760673165
1394,200812210min,-1,-1,16,2008,-7,3.0,,0.59729254,,,0.8490903000000001,0,0.72319142
1395,200811300sdg,-1,-1,13,2008,-6,6.0,,,,0.9380983,,0,0.9380983
1396,200809280car,1,1,4,2008,15,7.0,,0.29550156,0.41140738,,,1,0.35345446999999997
1397,200901030crd,1,1,18,2008,6,2.0,0.6869605999999999,0.2804224,,,,1,0.48369149999999994
1398,200809140tam,1,1,2,2008,15,7.0,,0.54851997,,,0.66175294,1,0.605136455
1399,200810260phi,1,1,8,2008,13,9.0,,,,0.7607911999999999,,1,0.7607911999999999
1400,200812070nor,1,1,14,2008,4,3.0,,0.64881057,0.77175343,0.56589633,,1,0.64881057
1401,200811020rai,-1,-1,9,2008,-24,3.0,0.49781677,,0.5650664000000001,0.53948545,0.6870421,0,0.552275925
1402,200811160gnb,1,1,11,2008,34,3.5,,0.43031824,,0.66502106,0.84526575,1,0.66502106
1403,200812280htx,1,1,17,2008,7,3.0,,0.70808953,0.42989403,0.52337474,,1,0.52337474
1404,200811300min,1,1,13,2008,20,5.0,0.67261213,0.41439956,0.67716455,,0.65869063,1,0.66565138
1405,200811230ram,-1,-1,12,2008,-24,7.5,,0.4911834,,,,0,0.4911834
1406,200709060clt,1,1,1,2007,31,5.5,,0.68489385,,,0.7858337,1,0.7353637749999999
