,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
821,201101090phi,-1,-1,18,2010,-5,1.5,0.59527177,,0.7233503000000001,0.5384769,0.7723489,0,0.6573619675
822,201011280atl,1,1,12,2010,3,1.5,0.48679700000000004,0.8812902,,0.58904386,0.7906425,1,0.68694339
823,201101150atl,-1,-1,19,2010,-27,1.0,0.39777634,,0.6506850000000001,,0.51869065,0,0.5223839966666667
824,201010310nyj,-1,-1,8,2010,-9,6.0,,0.45583275,,0.9527116,0.83645725,0,0.7483338666666667
825,201011150was,-1,-1,10,2010,-31,3.0,,,0.30455345,,0.35534814,0,0.329950795
826,201011280chi,1,1,12,2010,5,3.0,,,,0.20486036,0.35861084,1,0.2817356
827,201009190det,1,-1,2,2010,-3,6.5,0.32702267,,,0.34719634,,0,0.33710950500000003
828,201010240oti,1,1,7,2010,18,3.0,0.5840254,,,0.70934623,0.6341375,1,0.6425030433333333
829,201010100sfo,-1,-1,5,2010,-3,3.5,0.8345475,0.34187248,0.3998374,0.7683306,,0,0.586146995
830,201012120dal,1,-1,14,2010,-3,4.0,,0.1799238,0.06575349,,,0,0.122838645
831,201009260jax,-1,-1,3,2010,-25,3.0,,,0.62144077,0.5300256,0.5480931,0,0.5665198233333334
832,201012190nyg,-1,-1,15,2010,-7,3.0,0.786679,,0.80473983,0.56324023,0.43867904,0,0.6483345250000001
833,201010100cin,-1,-1,5,2010,-3,7.0,0.684747,,0.86953187,,,0,0.777139435
834,201009190car,-1,-1,2,2010,-13,4.0,0.5772045,0.74921405,0.42550552,,,0,0.58397469
835,201010310crd,-1,-1,8,2010,-3,3.0,0.6154651999999999,0.665632,,,,0,0.6405486
836,201011280rav,-1,1,12,2010,7,8.0,,,0.6682948000000001,,0.9954288,1,0.8318618
837,201011070atl,-1,1,9,2010,6,10.0,0.6729824999999999,0.9567846,0.6311451,0.6432352,,1,0.72603685
838,201101020nor,-1,-1,17,2010,-10,7.0,,,0.8834473,0.94549644,,0,0.9144718700000001
839,201011210sfo,-1,-1,11,2010,-21,3.5,,0.9131267,0.6485732,,,0,0.7808499499999999
840,201111200was,1,-1,11,2011,-3,7.0,0.3347248,,0.38656804,0.40529254,,0,0.37552846
841,201112040crd,1,1,13,2011,6,4.0,0.5286345,0.3163224,,0.13505998,0.28496236,1,0.31624481
842,201110160nwe,-1,1,6,2011,4,6.5,0.90108764,0.7155597,,,,1,0.80832367
843,201112170tam,-1,-1,15,2011,-16,7.0,0.24554405,,,,0.55444306,0,0.399993555
844,201110300phi,1,1,8,2011,27,3.0,0.31769907,0.64583623,0.3956323,0.46952662,0.6235121,1,0.49044126400000004
845,201109110nyj,-1,1,1,2011,3,6.5,,,,,0.5301581999999999,1,0.5301581999999999
846,201201010nyg,1,1,17,2011,17,3.0,0.56212485,,0.37508819,,0.6146269,1,0.51727998
847,201212030was,1,1,13,2012,1,2.5,,0.44797125,,0.20211163,0.4946725,1,0.3815851266666667
848,201211110cin,1,1,10,2012,18,3.0,0.07026869,0.45574474,,,,1,0.263006715
849,201209200car,-1,-1,3,2012,-29,3.0,0.4842304,0.64570135,0.5347085,0.74135524,0.7652946999999999,0,0.6342580379999999
850,201212230rav,1,1,16,2012,19,1.5,,,0.5613978000000001,0.49334570000000005,,1,0.52737175
851,201209300phi,1,1,4,2012,2,0.0,,,0.14997244,,0.51215994,1,0.33106619
852,201212160atl,1,1,15,2012,34,0.0,0.7659123000000001,0.63886833,0.45773652,0.75653315,0.6870135,1,0.66121276
853,201210140sfo,-1,-1,6,2012,-23,7.0,0.7105898,,,0.8636589,,0,0.78712435
