,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
2629,201212090sea,1,1,14,2012,58,10.0,,0.7172115,,1.0527127,0.7295233,1,0.8331491666666667
2630,201212020gnb,1,1,13,2012,9,7.0,,,,,0.7347461,1,0.7347461
2631,201301050gnb,1,1,18,2012,14,10.5,0.7888149999999999,0.80695605,0.89598256,0.9500601999999999,0.81261384,1,0.85088553
2632,201212230htx,-1,-1,16,2012,-17,8.0,0.6830791,,,0.6363255999999999,0.6244569999999999,0,0.6479539
2633,201212160ram,-1,-1,15,2012,-14,1.5,,,,0.23855442,0.44944543,0,0.343999925
2634,201210140was,1,1,6,2012,12,2.0,,0.5374966,,0.13190383,0.43078370000000005,1,0.36672804333333336
2635,201211250chi,1,1,12,2012,18,6.0,,0.6505371999999999,0.6964570999999999,0.46515137,0.15861014,1,0.4926889525
2636,201209300det,-1,-1,4,2012,-7,3.5,0.67700946,,,0.6171998000000001,,0,0.6471046300000001
2637,201209160clt,1,1,2,2012,3,3.0,0.6173219,,0.66448456,,0.64115417,1,0.6409868766666666
2638,201211040sea,1,1,9,2012,10,4.5,0.30740392,,,,,1,0.30740392
2639,201212090gnb,1,1,14,2012,7,6.0,,,0.671115,0.71294683,,1,0.692030915
2640,201210220chi,-1,1,7,2012,6,6.5,0.79309124,,,0.5493159000000001,,1,0.6712035700000001
2641,201212160crd,1,1,15,2012,28,6.5,0.40037954,0.606232,,0.5361956999999999,0.19510636,1,0.4344784
2642,201209230oti,1,1,3,2012,3,4.0,0.46257162,0.4089556,0.45336825,,0.4737553,1,0.4496626925
2643,201210140phi,-1,-1,6,2012,-3,3.5,0.5993921,,,0.59481037,0.53427404,0,0.5761588366666667
2644,201209160sfo,1,1,2,2012,8,7.0,0.6817799,,0.7747929,0.805521,0.6404398,1,0.7256334
2645,201211040jax,-1,-1,9,2012,-17,6.0,,-0.07472986,-0.013477743,,,0,-0.0441038015
2646,201211110min,1,1,10,2012,10,3.0,0.193118,,0.08919117,0.67799497,0.34396172,1,0.326066465
2647,201309150gnb,1,1,2,2013,18,8.0,,0.60939974,,,,1,0.60939974
2648,201311170phi,1,1,11,2013,8,4.5,,0.43275005,,,0.6236868,1,0.5282184249999999
2649,201312150atl,-1,1,15,2013,1,6.0,,,0.46096499999999996,0.45186496,,1,0.45641497999999997
